song_title,pipe_delimited_artist_list,love_song_category,top_10_debut_date_as_decimal,total_weeks_in_top_10
"It Don't Matter To Me","Bread",Heartache,1970.87,1
"Somebody's Been Sleeping","100 Proof|Aged in Soul",Good Riddance,1970.87,2
"The Tears Of A Clown","Smokey Robinson & The Miracles",Heartache,1970.87,10
"Gypsy Woman","Brian Hyland",Pursuit,1970.87,8
"Montego Bay","Bobby Bloom",,1970.89,2
"Heaven Help Us All","Stevie Wonder",,1970.91,2
"One Less Bell To Answer","The 5th Dimension",Heartache,1970.93,10
"Share The Land","The Guess Who",,1970.93,2
"No Matter What","Badfinger",Serenade,1970.93,4
"Does Anybody Really Know What Time It Is?","Chicago",,1970.95,5
"My Sweet Lord/Isn't It A Pity","George Harrison",,1970.95,10
"Black Magic Woman","Santana",Serenade,1970.95,7
"Stoned Love","The Supremes",,1970.96,5
"Knock Three Times","Dawn",Pursuit,1970.96,11
"Domino","Van Morrison",,1971.01,1
"Stoney End","Barbra Streisand",,1971.02,4
"Lonely Days","Bee Gees",Heartache,1971.02,7
"Groove Me","King Floyd",Sexual Confidence,1971.04,6
"It's Impossible","Perry Como",Serenade,1971.06,1
"Your Song","Elton John",Serenade,1971.06,4
"Rose Garden","Lynn Anderson",It's Complicated,1971.06,6
"One Bad Apple","The Osmonds",Pursuit,1971.08,9
"I Hear You Knocking","Dave Edmunds",Good Riddance,1971.08,5
"If I Were Your Woman","Gladys Knight And The Pips",Heartache,1971.1,2
"Mama's Pearl","Jackson 5",,1971.12,5
"Sweet Mary","Wadsworth Mansion",Heartache,1971.14,3
"Mr. Bojangles","Nitty Gritty Dirt Band",,1971.14,3
"If You Could Read My Mind","Gordon Lightfoot",Heartache,1971.14,5
"Amos Moses","Jerry Reed",,1971.16,2
"Me And Bobby McGee","Janis Joplin",Heartache,1971.16,8
"Just My Imagination (Running Away With Me)","The Temptations",Heartache,1971.18,9
"She's A Lady","Tom Jones",Serenade,1971.18,8
"For All We Know","Carpenters",Serenade,1971.18,7
"Proud Mary","Ike & Tina Turner",,1971.2,5
"Have You Ever Seen The Rain/Hey Tonight","Creedence Clearwater Revival",,1971.2,1
"Doesn't Somebody Want To Be Wanted","The Partridge Family|Shirley Jones|David Cassidy",Heartache,1971.2,6
"What's Going On","Marvin Gaye",,1971.22,8
"Help Me Make It Through The Night","Sammi Smith",Sexual Confidence,1971.22,3
"What Is Life","George Harrison",Serenade,1971.23,1
"(Where Do I Begin) Love Story","Andy Williams",Serenade,1971.25,1
"Another Day/Oh Woman Oh Why","Paul McCartney",It's Complicated,1971.25,5
"Joy To The World","Three Dog Night",,1971.27,11
"One Toke Over The Line","Brewer And Shipley",,1971.27,2
"Put Your Hand In The Hand","Ocean",,1971.29,7
"I Am...I Said/Done Too Soon","Neil Diamond",,1971.31,4
"Never Can Say Goodbye","Jackson 5",Heartache,1971.31,7
"If","Bread",Serenade,1971.31,5
"Stay Awhile","The Bells",Serenade,1971.31,4
"Chick-A-Boom (Don't Ya Jes' Love It)","Daddy Dewdrop",,1971.33,5
"Bridge Over Troubled Water/Brand New Me","Aretha Franklin",Serenade,1971.35,6
"Me And You And A Dog Named Boo","Lobo",,1971.35,5
"Brown Sugar","The Rolling Stones",Sexual Confidence,1971.37,8
"Want Ads","The Honey Cone",Pursuit,1971.39,8
"It Don't Come Easy","Ringo Starr",,1971.39,7
"Sweet And Innocent","Donny Osmond|The Osmonds",Serenade,1971.41,5
"Rainy Days And Mondays","Carpenters",,1971.43,7
"It's Too Late/I Feel The Earth Move","Carole King",Heartache,1971.43,10
"Treat Her Like A Lady","Cornelius Brothers & Sister Rose",Serenade,1971.45,7
"I'll Meet You Halfway","The Partridge Family|Shirley Jones|David Cassidy",It's Complicated,1971.45,2
"Indian Reservation (The Lament Of The Cherokee Reservation Indian)","The Raiders",,1971.46,9
"When You're Hot, You're Hot","Jerry Reed",,1971.48,3
"Don't Pull Your Love","Hamilton, Joe Frank & Reynolds",Heartache,1971.48,6
"You've Got A Friend","James Taylor",,1971.5,8
"Mr. Big Stuff","Jean Knight",Love Song for the Self,1971.52,8
"That's The Way I've Always Heard It Should Be","Carly Simon",It's Complicated,1971.52,2
"Draggin' The Line","Tommy James",,1971.54,6
"How Can You Mend A Broken Heart","Bee Gees",Heartache,1971.54,10
"Sooner Or Later","The Grass Roots",Pursuit,1971.56,2
"Take Me Home, Country Roads","John Denver",,1971.56,8
"What The World Needs Now Is Love/Abraham, Martin and John","Tom Clay",,1971.58,3
"Beginnings/Colour My World","Chicago",Serenade,1971.6,3
"Mercy, Mercy Me (The Ecology)","Marvin Gaye",,1971.6,4
"Signs","Five Man Electrical Band",,1971.62,5
"Liar","Three Dog Night",Good Riddance,1971.64,3
"Sweet Hitch-Hiker","Creedence Clearwater Revival",,1971.64,2
"Go Away Little Girl","Donny Osmond",,1971.66,9
"Smiling Faces Sometimes","The Undisputed Truth",,1971.66,6
"Spanish Harlem","Aretha Franklin",,1971.66,6
"I Just Want To Celebrate","Rare Earth",,1971.67,4
"Ain't No Sunshine","Bill Withers",Heartache,1971.67,6
"Uncle Albert/Admiral Halsey","Paul & Linda McCartney",,1971.67,7
"Maggie May/Reason To Believe","Rod Stewart",It's Complicated,1971.69,11
"Whatcha See Is Whatcha Get","The Dramatics",,1971.71,2
"The Night They Drove Old Dixie Down","Joan Baez",,1971.71,8
"Superstar/Bless The Beasts And Children","Carpenters",Heartache,1971.73,8
"Yo-Yo","The Osmonds",It's Complicated,1971.75,8
"Do You Know What I Mean","Lee Michaels",Heartache,1971.75,5
"Sweet City Woman","Stampeders",Serenade,1971.77,3
"If You Really Love Me","Stevie Wonder",It's Complicated,1971.77,3
"Gypsys, Tramps & Thieves","Cher",,1971.79,9
"Theme From Shaft","Isaac Hayes",,1971.81,9
"Peace Train","Cat Stevens",,1971.83,5
"I've Found Someone Of My Own","The Free Movement",Good Riddance,1971.83,3
"Imagine","John Lennon Plastic Ono Band",,1971.83,6
"Inner City Blues (Make Me Wanna Holler)","Marvin Gaye",,1971.85,2
"Have You Seen Her","The Chi-lites",Heartache,1971.87,8
"Family Affair","Sly & The Family Stone",,1971.89,9
"Baby I'm - A Want You","Bread",Serenade,1971.89,5
"Got To Be There","Michael Jackson",Heartache,1971.89,9
"Desiderata","Les Crane",,1971.9,3
"Rock Steady","Aretha Franklin",,1971.9,2
"An Old Fashioned Love Song","Three Dog Night",Serenade,1971.92,5
"All I Ever Need Is You","Sonny & Cher",Serenade,1971.94,3
"Brand New Key","Melanie",Pursuit,1971.94,10
"American Pie (Parts I & II)","Don McLean",,1971.96,11
"Cherish","David Cassidy",Heartache,1971.96,4
"Scorpio","Dennis Coffey|The Detroit Guitar Band",,1971.98,6
"Hey Girl/I Knew You When","Donny Osmond",Heartache,1971.98,4
"Sunshine","Jonathan Edwards",,1972,6
"Let's Stay Together","Al Green",Serenade,1972.02,9
"I'd Like To Teach The World To Sing (In Perfect Harmony)","The New Seekers",,1972.02,3
"Clean Up Woman","Betty Wright",Good Riddance,1972.04,3
"Sugar Daddy","Jackson 5",Pursuit,1972.06,2
"Day After Day","Badfinger",Heartache,1972.06,4
"You Are Everything","The Stylistics",Serenade,1972.06,2
"Never Been To Spain","Three Dog Night",,1972.08,4
"Without You","Nilsson",Heartache,1972.1,9
"Joy","Apollo featuring Tom Parker",,1972.1,4
"Hurting Each Other","Carpenters",It's Complicated,1972.1,6
"Precious And Few","Climax",Serenade,1972.1,7
"Down By The Lazy River","The Osmonds",,1972.12,6
"Everything I Own","Bread",Serenade,1972.14,6
"The Lion Sleeps Tonight","Robert John",,1972.14,8
"Sweet Seasons","Carole King",,1972.16,2
"Bang A Gong (Get It On)","T. Rex",Sexual Confidence,1972.17,2
"Heart Of Gold","Neil Young",Pursuit,1972.17,8
"The Way Of Love","Cher",Heartache,1972.19,3
"A Horse With No Name","America",,1972.19,10
"Mother And Child Reunion","Paul Simon",,1972.21,4
"Puppy Love","Donny Osmond",Serenade,1972.21,5
"Jungle Fever","The Chakachas",Sexual Confidence,1972.23,3
"I Gotcha","Joe Tex",Sexual Confidence,1972.23,10
"Rockin' Robin","Michael Jackson",,1972.25,8
"The First Time Ever I Saw Your Face","Roberta Flack",Serenade,1972.25,11
"In The Rain","The Dramatics",Heartache,1972.27,4
"Day Dreaming","Aretha Franklin",Serenade,1972.29,5
"A Cowboys Work Is Never Done","Sonny & Cher",,1972.29,3
"Betcha By Golly, Wow","The Stylistics|Russell Thompkins, Jr.",Serenade,1972.29,6
"Doctor My Eyes","Jackson Browne",,1972.31,3
"Look What You Done For Me","Al Green",Serenade,1972.33,6
"Back Off Boogaloo","Ringo Starr",,1972.35,3
"I'll Take You There","The Staple Singers",,1972.35,8
"Oh Girl","The Chi-lites",Heartache,1972.37,7
"Morning Has Broken","Cat Stevens",,1972.39,4
"Tumbling Dice","The Rolling Stones",Sexual Confidence,1972.39,3
"Hot Rod Lincoln","Commander Cody & His Lost Planet Airmen",,1972.4,2
"Sylvia's Mother","Dr. Hook|The Medicine Show",Heartache,1972.4,4
"The Candy Man","Sammy Davis, Jr.|The Mike Curb Congregation",,1972.4,7
"Nice To Be With You","Gallery",Serenade,1972.42,5
"(Last Night) I Didn't Get To Sleep At All","The 5th Dimension",Heartache,1972.44,3
"Song Sung Blue","Neil Diamond",,1972.44,6
"Outa-Space","Billy Preston",,1972.44,6
"Lean On Me","Bill Withers",,1972.46,7
"Troglodyte (Cave Man)","The Jimmy Castor Bunch",Sexual Confidence,1972.46,4
"Too Late To Turn Back Now","Cornelius Brothers & Sister Rose",Serenade,1972.48,8
"I Need You","America",Serenade,1972.5,2
"Daddy Don't You Walk So Fast","Wayne Newton",,1972.5,8
"Rocket Man","Elton John",,1972.5,4
"(If Loving You Is Wrong) I Don't Want To Be Right","Luther Ingram",It's Complicated,1972.52,8
"Brandy (You're A Fine Girl)","Looking Glass",Heartache,1972.54,10
"Alone Again (Naturally)","Gilbert O'Sullivan",Heartache,1972.54,11
"Where Is The Love","Roberta Flack|Donny Hathaway",It's Complicated,1972.54,6
"How Do You Do?","Mouth & MacNeal",Pursuit,1972.56,4
"School's Out","Alice Cooper",,1972.56,4
"Long Cool Woman (In A Black Dress)","The Hollies",,1972.58,8
"Layla","Derek and the Dominos",Heartache,1972.6,1
"I'm Still In Love With You","Al Green",Serenade,1972.61,6
"Hold Your Head Up","Argent",,1972.63,3
"Goodbye To Love","Carpenters",Heartache,1972.63,3
"Coconut","Nilsson",,1972.63,2
"You Don't Mess Around With Jim","Jim Croce",,1972.65,3
"Baby Don't Get Hooked On Me","Mac Davis",Sexual Confidence,1972.65,9
"Back Stabbers","The O'Jays",,1972.67,7
"Rock And Roll Part 2","Gary Glitter",,1972.67,4
"Saturday In The Park","Chicago",,1972.69,4
"Black & White","Three Dog Night",,1972.69,5
"Honky Cat","Elton John",,1972.71,2
"Go All The Way","Raspberries",Sexual Confidence,1972.73,5
"Everybody Plays The Fool","The Main Ingredient",,1972.73,6
"Ben","Michael Jackson",,1972.73,7
"Use Me","Bill Withers",It's Complicated,1972.75,5
"Popcorn","Hot Butter",,1972.75,4
"Burning Love","Elvis Presley",Serenade,1972.75,6
"My Ding-A-Ling","Chuck Berry",,1972.77,6
"Nights In White Satin","The Moody Blues",Heartache,1972.79,7
"Garden Party","Rick Nelson And The Stone Canyon Band",,1972.81,4
"I Can See Clearly Now","Johnny Nash",,1972.83,8
"Good Time Charlie's Got The Blues","Danny O'Keefe",Heartache,1972.83,2
"Freddie's Dead (Theme From ""Superfly"")","Curtis Mayfield",,1972.83,4
"I'd Love You To Want Me","Lobo",Heartache,1972.84,5
"I'll Be Around","The Spinners",Serenade,1972.84,5
"Convention '72","The Delegates",,1972.86,2
"I Am Woman","Helen Reddy",Love Song for the Self,1972.86,8
"Witchy Woman","Eagles",It's Complicated,1972.86,2
"Summer Breeze","Seals & Crofts",Serenade,1972.88,3
"Papa Was A Rollin' Stone","The Temptations",,1972.88,6
"If You Don't Know Me By Now","Harold Melvin And The Blue Notes",It's Complicated,1972.9,5
"If I Could Reach You","The 5th Dimension",Heartache,1972.9,1
"You Ought To Be With Me","Al Green",Pursuit,1972.9,7
"It Never Rains In Southern California","Albert Hammond",,1972.92,6
"Ventura Highway","America",,1972.92,3
"Me And Mrs. Jones","Billy Paul",It's Complicated,1972.94,8
"Clair","Gilbert O'Sullivan",,1972.94,7
"I'm Stone In Love With You","The Stylistics",Serenade,1972.94,2
"You're So Vain","Carly Simon",Good Riddance,1972.98,11
"Funny Face","Donna Fargo",Serenade,1972.98,4
"Rockin' Pneumonia - Boogie Woogie Flu","Johnny Rivers",,1972.98,6
"Superfly","Curtis Mayfield",,1973,4
"Your Mama Don't Dance","Kenny Loggins|Jim Messina",,1973,6
"Superstition","Stevie Wonder",,1973.02,6
"Keeper Of The Castle","Four Tops",Serenade,1973.04,1
"Crocodile Rock","Elton John",,1973.04,9
"Why Can't We Live Together","Timmy Thomas",,1973.05,5
"Oh, Babe, What Would You Say?","Hurricane Smith",Pursuit,1973.05,5
"The World Is A Ghetto","War",,1973.07,3
"Trouble Man","Marvin Gaye",,1973.07,3
"Do It Again","Steely Dan",,1973.09,4
"Hi, Hi, Hi","Wings",,1973.09,1
"Don't Expect Me To Be Your Friend","Lobo",Heartache,1973.11,4
"Could It Be I'm Falling In Love","The Spinners",Pursuit,1973.11,6
"Rocky Mountain High","John Denver",,1973.13,4
"Dueling Banjos","Eric Weissberg|Steve Mandell",,1973.13,6
"Killing Me Softly With His Song","Roberta Flack",Heartache,1973.13,9
"Last Song","Edward Bear",Heartache,1973.15,6
"Love Train","The O'Jays",,1973.15,6
"Also Sprach Zarathustra (2001)","Deodato",,1973.17,6
"The Cover Of ""Rolling Stone""","Dr. Hook|The Medicine Show",,1973.19,3
"Daddy's Home","Jermaine Jackson",,1973.19,2
"Danny's Song","Anne Murray",Serenade,1973.21,6
"Neither One Of Us (Wants To Be The First To Say Goodbye)","Gladys Knight And The Pips",Heartache,1973.21,6
"Ain't No Woman (Like The One I've Got)","Four Tops",Serenade,1973.23,6
"Break Up To Make Up","The Stylistics",It's Complicated,1973.23,4
"Sing","Carpenters",,1973.25,6
"The Night The Lights Went Out In Georgia","Vicki Lawrence",,1973.25,7
"The Cisco Kid","War",,1973.27,6
"Tie A Yellow Ribbon Round The Ole Oak Tree","Dawn|Tony Orlando",It's Complicated,1973.27,11
"Call Me (Come Back Home)","Al Green",Heartache,1973.28,1
"Little Willy","The Sweet",,1973.3,7
"Masterpiece","The Temptations",,1973.3,2
"The Twelfth Of Never","Donny Osmond",Serenade,1973.3,4
"You Are The Sunshine Of My Life","Stevie Wonder",Serenade,1973.32,7
"Stuck In The Middle With You","Stealers Wheel",,1973.32,4
"Drift Away","Dobie Gray",,1973.34,4
"Frankenstein","Edgar Winter Group",,1973.34,7
"Daniel","Elton John",,1973.36,7
"My Love","Paul McCartney|Wings",Serenade,1973.38,9
"Wildflower","Skylark",Serenade,1973.38,2
"Pillow Talk","Sylvia (r&b)",Sexual Confidence,1973.38,7
"Hocus Pocus","Focus",,1973.4,3
"I'm Gonna Love You Just A Little More Baby","Barry White",Serenade,1973.42,6
"Playground In My Mind","Clint Holmes",,1973.42,8
"Long Train Runnin'","The Doobie Brothers",It's Complicated,1973.44,3
"Kodachrome","Paul Simon",,1973.46,7
"Will It Go Round In Circles","Billy Preston",,1973.46,8
"Give Me Love - (Give Me Peace On Earth)","George Harrison",,1973.46,7
"Right Place Wrong Time","Dr. John",,1973.48,4
"Shambala","Three Dog Night",,1973.49,6
"Bad, Bad Leroy Brown","Jim Croce",,1973.51,8
"Yesterday Once More","Carpenters",,1973.51,6
"Smoke On The Water","Deep Purple",,1973.53,5
"Boogie Woogie Bugle Boy","Bette Midler",,1973.55,2
"Natural High","Bloodstone",Serenade,1973.55,1
"Diamond Girl","Seals & Crofts",Serenade,1973.57,2
"The Morning After","Maureen McGovern",,1973.57,6
"Touch Me In The Morning","Diana Ross",Heartache,1973.59,8
"Live And Let Die","Wings",,1973.59,7
"Brother Louie","Stories",It's Complicated,1973.59,8
"Uneasy Rider","Charlie Daniels",,1973.61,3
"Let's Get It On","Marvin Gaye",Sexual Confidence,1973.61,13
"Get Down","Gilbert O'Sullivan",,1973.63,3
"Delta Dawn","Helen Reddy",Heartache,1973.63,8
"Feelin' Stronger Every Day","Chicago",Love Song for the Self,1973.63,2
"Say, Has Anybody Seen My Sweet Gypsy Rose","Dawn|Tony Orlando",Heartache,1973.65,6
"Loves Me Like A Rock","Paul Simon|The Dixie Hummingbirds",,1973.67,7
"Gypsy Man","War",,1973.69,2
"Here I Am Come & Take Me","Al Green",Serenade,1973.69,2
"We're An American Band","Grand Funk",,1973.69,6
"Higher Ground","Stevie Wonder",,1973.72,6
"That Lady (Part 1)","The Isley Brothers",Serenade,1973.72,6
"Half-Breed","Cher",,1973.72,8
"My Maria","B.W. Stevenson",Serenade,1973.74,1
"Ramblin Man","The Allman Brothers Band",,1973.74,6
"Keep On Truckin' (Part 1)","Eddie Kendricks",,1973.76,10
"Angie","The Rolling Stones",Heartache,1973.76,7
"Midnight Train To Georgia","Gladys Knight And The Pips",Serenade,1973.78,8
"Paper Roses","Marie Osmond",Heartache,1973.8,6
"Heartbeat - It's A Lovebeat","The DeFranco Family|Tony DeFranco",Serenade,1973.8,7
"Space Race","Billy Preston",,1973.84,6
"All I Know","Garfunkel",Serenade,1973.84,2
"Photograph","Ringo Starr",Heartache,1973.86,6
"Top Of The World","Carpenters",Serenade,1973.86,8
"I Got A Name","Jim Croce",,1973.88,1
"Just You 'n' Me","Chicago",Serenade,1973.88,6
"The Love I Lost (Part 1)","Harold Melvin And The Blue Notes",Heartache,1973.9,3
"Goodbye Yellow Brick Road","Elton John",,1973.9,7
"The Most Beautiful Girl","Charlie Rich",Heartache,1973.92,6
"Hello It's Me","Todd Rundgren",It's Complicated,1973.93,4
"Leave Me Alone (ruby Red Dress)","Helen Reddy",,1973.93,5
"Time In A Bottle","Jim Croce",Heartache,1973.95,7
"If You're Ready (Come Go With Me)","The Staple Singers",,1973.95,2
"The Joker","The Steve Miller Band",Sexual Confidence,1973.95,8
"Never, Never Gonna Give Ya Up","Barry White",Serenade,1973.97,4
"Smokin' In The Boy's Room","Brownsville Station",,1973.99,5
"Show And Tell","Al Wilson",Serenade,1973.99,7
"I've Got To Use My Imagination","Gladys Knight And The Pips",,1974.01,6
"Living For The City","Stevie Wonder",,1974.01,3
"Let Me Be There","Olivia Newton-John",Serenade,1974.03,7
"You're Sixteen","Ringo Starr",Serenade,1974.03,7
"Helen Wheels","Paul McCartney|Wings",,1974.03,1
"The Way We Were","Barbra Streisand",Heartache,1974.05,9
"Love's Theme","Love Unlimited Orchestra",,1974.05,7
"Americans","Byron MacGregor",,1974.07,4
"Until You Come Back To Me (That's What I'm Gonna Do)","Aretha Franklin",Heartache,1974.09,6
"Spiders & Snakes","Jim Stafford",,1974.09,7
"Jungle Boogie","Kool & The Gang",,1974.11,7
"Rock On","David Essex",,1974.13,5
"Boogie Down","Eddie Kendricks",,1974.13,6
"Seasons In The Sun","Terry Jacks",,1974.15,8
"Dark Lady","Cher",Good Riddance,1974.17,6
"Put Your Hands Together","The O'Jays",,1974.17,1
"Mockingbird","Carly Simon|James Taylor",,1974.19,6
"Sunshine On My Shoulders","John Denver",,1974.19,7
"Jet","Paul McCartney|Wings",,1974.2,3
"Eres Tu (Touch The Wind)","Mocedades",Serenade,1974.22,2
"Hooked On A Feeling","Blue Swede",Serenade,1974.22,7
"Bennie And The Jets","Elton John",,1974.22,9
"Come And Get Your Love","Redbone",Serenade,1974.24,5
"The Lord's Prayer","Sister Janet Mead",,1974.24,4
"TSOP (The Sound Of Philadelphia)","MFSB|The Three Degrees",,1974.26,6
"Best Thing That Ever Happened To Me","Gladys Knight And The Pips",Serenade,1974.26,5
"Oh My My","Ringo Starr",Pursuit,1974.28,3
"I'll Have To Say I Love You In A Song","Jim Croce",Serenade,1974.3,2
"The Loco-Motion","Grand Funk",,1974.3,6
"Dancing Machine","Jackson 5",,1974.32,9
"Lookin' For A Love","Bobby Womack",Pursuit,1974.32,1
"Tubular Bells","Mike Oldfield",,1974.34,2
"The Streak","Ray Stevens",,1974.34,8
"The Show Must Go On","Three Dog Night",,1974.34,4
"Just Don't Want To Be Lonely","The Main Ingredient",,1974.34,1
"(i've Been) Searchin' So Long","Chicago",Serenade,1974.36,3
"Midnight At The Oasis","Maria Muldaur",Sexual Confidence,1974.36,6
"The Entertainer","Marvin Hamlisch",,1974.36,7
"Band On The Run","Paul McCartney|Wings",,1974.38,7
"You Make Me Feel Brand New","The Stylistics",Serenade,1974.38,8
"Help Me","Joni Mitchell",It's Complicated,1974.4,3
"Oh Very Young","Cat Stevens",,1974.42,1
"Billy, Don't Be A Hero","Bo Donaldson And The Heywoods",,1974.42,7
"Sundown","Gordon Lightfoot",It's Complicated,1974.42,7
"For The Love Of Money","The O'Jays",,1974.43,2
"Be Thankful For What You Got","William DeVaughn",,1974.45,3
"Hollywood Swinging","Kool & The Gang",,1974.47,3
"If You Love Me (let Me Know)","Olivia Newton-John",It's Complicated,1974.47,4
"Rock The Boat","The Hues Corporation",It's Complicated,1974.49,5
"Rock Your Baby","George McCrae",Sexual Confidence,1974.49,5
"ANNIE's SONG","John Denver",Serenade,1974.49,7
"You Won't See Me","Anne Murray",It's Complicated,1974.51,3
"On And On","Gladys Knight And The Pips",,1974.51,3
"The Air That I Breathe","The Hollies",Serenade,1974.53,4
"Rock And Roll Heaven","The Righteous Brothers",,1974.53,4
"Don't Let The Sun Go Down On Me","Elton John",It's Complicated,1974.53,5
"Rikki Don't Lose That Number","Steely Dan",It's Complicated,1974.55,3
"Call On Me","Chicago",Serenade,1974.57,4
"Feel Like Makin' Love","Roberta Flack",Sexual Confidence,1974.57,6
"Please Come To Boston","Dave Loggins",Heartache,1974.57,4
"Sideshow","Blue Magic",Heartache,1974.59,3
"The Night Chicago Died","Paper Lace",,1974.59,6
"Wildwood Weed","Jim Stafford",,1974.61,4
"Waterloo","ABBA",Serenade,1974.61,3
"Tell Me Something Good","Rufus|Chaka Khan",Pursuit,1974.61,6
"(You're) Having My Baby","Paul Anka|Odia Coates",Serenade,1974.63,6
"I'm Leaving It (All) Up To You","Donny & Marie Osmond",Pursuit,1974.63,5
"Rock Me Gently","Andy Kim",Sexual Confidence,1974.64,6
"Keep On Smilin'","Wet Willie",,1974.64,1
"I Shot The Sheriff","Eric Clapton",,1974.64,5
"You And Me Against The World","Helen Reddy",,1974.66,3
"Can't Get Enough Of Your Love, Babe","Barry White",Serenade,1974.66,4
"Then Came You","Dionne Warwick|Spinners",Serenade,1974.68,8
"Nothing From Nothing","Billy Preston",,1974.68,7
"Clap For The Wolfman","The Guess Who",,1974.7,4
"I Honestly Love You","Olivia Newton-John",Heartache,1974.72,5
"You Haven't Done Nothin","Stevie Wonder",,1974.72,7
"Hang On In There Baby","Johnny Bristol",Serenade,1974.72,3
"Another Saturday Night","Cat Stevens",Heartache,1974.74,3
"Beach Baby","First Class",,1974.74,3
"Sweet Home Alabama","Lynyrd Skynyrd",,1974.74,4
"Earache My Eye","Cheech & Chong|Alice Bowie",,1974.76,2
"The Bitch Is Back","Elton John",,1974.78,5
"Can't Get Enough","Bad Company",Serenade,1974.78,4
"Never My Love","Blue Swede",Serenade,1974.78,2
"Jazzman","Carole King",,1974.8,4
"Steppin' Out (Gonna Boogie Tonight)","Tony Orlando|Dawn",,1974.8,3
"Love Me For A Reason","The Osmonds",Serenade,1974.8,2
"You Ain't Seen Nothing Yet/Free Wheelin'","Bachman-Turner Overdrive",Serenade,1974.82,5
"Stop And Smell The Roses","Mac Davis",,1974.82,2
"Tin Man","America",,1974.84,4
"Whatever Gets You Thru The Night","John Lennon|The Plastic Ono Nuclear Band",,1974.84,3
"Carefree Highway","Gordon Lightfoot",,1974.86,2
"Do It ('til You're Satisfied)","B.T. Express",,1974.86,7
"Back Home Again","John Denver",,1974.86,3
"My Melody Of Love","Bobby Vinton",Serenade,1974.86,5
"Life Is A Rock (But The Radio Rolled Me)","Reunion",,1974.86,2
"Everlasting Love","Carl Carlton",Serenade,1974.87,3
"Longfellow Serenade","Neil Diamond",Pursuit,1974.87,3
"I Can Help","Billy Swan",Pursuit,1974.87,6
"Kung Fu Fighting","Carl Douglas",,1974.89,8
"When Will I See You Again","The Three Degrees",Heartache,1974.89,6
"Cat's In The Cradle","Harry Chapin",,1974.89,6
"Angie Baby","Helen Reddy",It's Complicated,1974.91,6
"You're The First, The Last, My Everything","Barry White",Serenade,1974.93,7
"Sha-La-La (Make Me Happy)","Al Green",Serenade,1974.93,3
"Junior's Farm/Sally G","Paul McCartney|Wings",,1974.95,6
"Lucy In The Sky With Diamonds","Elton John",,1974.95,6
"Laughter In The Rain","Neil Sedaka",Serenade,1974.99,7
"Boogie On Reggae Woman","Stevie Wonder",,1974.99,8
"Only You","Ringo Starr",Heartache,1974.99,3
"Mandy","Barry Manilow",Heartache,1975.01,5
"Please Mr. Postman","Carpenters",Heartache,1975.01,5
"One Man Woman/One Woman Man","Paul Anka|Odia Coates",Serenade,1975.03,3
"Never Can Say Goodbye","Gloria Gaynor",It's Complicated,1975.05,2
"Morning Side Of The Mountain","Donny & Marie Osmond",Heartache,1975.05,3
"You're No Good","Linda Ronstadt",It's Complicated,1975.07,5
"Fire","Ohio Players",Sexual Confidence,1975.07,4
"Pick Up The Pieces","AWB",,1975.07,7
"Best Of My Love","Eagles",Heartache,1975.09,6
"Some Kind Of Wonderful","Grand Funk",Serenade,1975.09,5
"Black Water","The Doobie Brothers",,1975.11,7
"Get Dancin'","Disco-Tex and the Sex-O-Lettes|Sir Monti Rock III",,1975.11,1
"Lonely People","America",,1975.11,6
"My Eyes Adored You","Frankie Valli",Heartache,1975.13,8
"#9 Dream","John Lennon",,1975.13,2
"Have You Never Been Mellow","Olivia Newton-John",,1975.14,7
"Nightingale","Carole King",Pursuit,1975.14,2
"Lady Marmalade","Labelle",Sexual Confidence,1975.16,7
"Lady","Styx",Serenade,1975.16,3
"Can't Get It Out Of My Head","Electric Light Orchestra",,1975.18,2
"Lovin' You","Minnie Riperton",Serenade,1975.18,8
"Don't Call Us, We'll Call You","Sugarloaf|Jerry Corbetta",,1975.2,3
"Express","B.T. Express",,1975.2,5
"Poetry Man","Phoebe Snow",Serenade,1975.22,4
"You Are So Beautiful/It's A Sin When You Love Somebody","Joe Cocker",Serenade,1975.22,3
"No No Song/snookeroo","Ringo Starr",,1975.22,5
"Philadelphia Freedom","The Elton John Band",,1975.24,9
"(Hey Won't You Play) Another Somebody Done Somebody Wrong Song","B.J. Thomas",Heartache,1975.26,7
"What Am I Gonna Do With You","Barry White",Serenade,1975.28,3
"Once You Get Started","Rufus|Chaka Khan",Pursuit,1975.28,1
"Chevy Van","Sammy Johns",Sexual Confidence,1975.28,4
"He Don't Love You (Like I Love You)","Tony Orlando|Dawn",Serenade,1975.3,6
"Before The Next Teardrop Falls","Freddy Fender",Serenade,1975.3,8
"Emma","Hot Chocolate",Heartache,1975.3,2
"Supernatural Thing - Part I","Ben E. King",Serenade,1975.3,2
"Walking In Rhythm","The Blackbyrds",Serenade,1975.32,4
"Jackie Blue","Ozark Mountain Daredevils",,1975.34,4
"Long Tall Glasses (I Can Dance)","Leo Sayer",,1975.34,2
"Shining Star","Earth, Wind & Fire",Serenade,1975.34,5
"Only Yesterday","Carpenters",Serenade,1975.34,5
"I Don't Like To Sleep Alone","Paul Anka|Odia Coates",Heartache,1975.36,4
"Thank God I'm A Country Boy","John Denver",,1975.37,5
"How Long","Ace",,1975.37,4
"Old Days","Chicago",,1975.39,4
"Bad Time","Grand Funk",Heartache,1975.39,4
